Sample Name,Reservoir,Date,Date analyzed,Station,Depth,Rep,Max Fl Ex ,Max Fl Em ,Max Fl ,B,T,A,C,M,N,FI,BIX,HIX,T/B,T/M,T/N,T/C,A/T,A/C,A/M,M/C,C/N
F5Aug19_9R1_Dil.csv,FCR,8/5/2019,2/12/2020,50,9,1,300,300,94.86988384,0.880719436,0.191034338,0.514045636,0.226391552,0.202579825,0.201239641,1.460360593,0.664896128,2.490885078,0.216907144,0.943007713,0.94928781,0.843822732,2.690854649,2.270604322,2.537496689,0.894820605,1.124984874
2Sep19_5R1_Dil.csv,FCR,9/2/2019,2/17/2020,50,5,1,300,300,21.31815352,0.436599893,0.13011114,0.231516887,0.118329426,0.120543329,0.113940412,1.578825722,0.709443363,2.162842746,0.298010013,1.079372373,1.141922673,1.099567066,1.779377903,1.956545339,1.92061135,1.018709662,1.038520259
F2Sep19_SurfR1_Dil.csv,FCR,9/2/2019,2/17/2020,50,0.1,1,300,300,40.24043857,0.545096291,0.271542655,0.324234442,0.142913931,0.14628785,0.181234898,1.444207221,0.669084711,1.730495917,0.498155389,1.856221519,1.49829121,1.900043283,1.194046079,2.268739232,2.216414028,1.023608046,0.788556357
F20Sep19_SurfR2_Dil.csv,FCR,9/20/2019,2/17/2020,50,0.1,2,300,300,38.5162419,0.511275323,0.2689042,0.341183346,0.146946252,0.15430718,0.198312115,1.470447197,0.726925205,1.938246915,0.525947933,1.74265513,1.35596456,1.82994936,1.268791439,2.321824083,2.21106591,1.05009266,0.740984745
F20Sep19_5R2_Dil.csv,FCR,9/20/2019,2/17/2020,50,5,2,300,300,91.50912636,1.019124838,0.224941977,0.383957251,0.16728379,0.167481521,0.173295046,1.468959581,0.691779831,1.614287947,0.220720729,1.343085348,1.298028892,1.344672891,1.70691685,2.295244816,2.292535011,1.001182012,0.965312011
F20Sep19_9R2_Dil.csv,FCR,9/20/2019,2/17/2020,50,9,2,300,300,19.80287622,0.323458213,0.074200239,0.159346042,0.086567965,0.079918495,0.075724838,1.640626634,0.807811764,2.403944208,0.229396675,0.928448897,0.979866589,0.857132758,2.147513881,1.840704495,1.993856895,0.923187868,1.143191157
F29Sep19_9R1_Dil.csv,FCR,9/27/2019,2/17/2020,50,9,1,300,300,38.99236423,0.363508029,0.102979255,0.203844124,0.098470832,0.099509336,0.10051116,1.573745149,0.837599605,1.936956569,0.283292931,1.034870283,1.024555432,1.045784354,1.979467848,2.070096505,2.048492452,1.010546318,0.979700478
20200221_F27Sep19_0.1R1_Dil.csv,FCR,9/27/2019,2/21/2020,50,0.1,1,300,300,31.50497384,0.23546596,0.297728012,0.320794118,0.137925579,0.173442712,0.215366441,1.481915373,0.734553227,1.725095121,1.264420607,1.716578395,1.38242528,2.158613474,1.077473749,2.325849353,1.84956816,1.257509404,0.640422798
20200221_F27Sep19_5R1_Dil.csv,FCR,9/27/2019,2/21/2020,50,5,1,300,300,50.82821168,0.15877564,0.140018893,0.26716184,0.123134046,0.124481709,0.12985715,1.525510616,0.723326005,2.041850096,0.881866343,1.124814997,1.078253243,1.137125738,1.90804136,2.16968294,2.146193536,1.010944681,0.948226926
20200221_F27Sep19_9R2.csv,FCR,9/27/2019,2/21/2020,50,9,2,300,300,21.98997469,0.074548001,0.088795376,0.178220092,0.093026783,0.089300699,0.091190441,1.602643864,0.808351575,2.5687919,1.191116799,0.994341327,0.973735571,0.954514103,2.007087529,1.915793353,1.995730076,0.959946125,1.020137437
