Sample_id,Sample_Name,Reservoir,Date,Station,Depth,Rep,Dilution,Fmax1,Fmax2,Fmax3,Fmax4
136,p_F18Jul19_99_R1.csv,FCR,7/18/2019,99,0.1,1,1,0.505216942,0.364650132,0.411669723,0.078379668
129,p_F18Jul19_100_R2.csv,FCR,7/18/2019,100,0.1,2,1,0.487242782,0.385057965,0.047865114,0.090830293
130,p_F18Jul19_101_R2.csv,FCR,7/18/2019,101,0.1,2,1,0.52370336,0.348308657,0.100138104,0.092827587
131,p_F18Jul19_102_R2.csv,FCR,7/18/2019,102,0.1,2,1,0.132862503,0.011752214,0.431433296,0.00124503
132,p_F18Jul19_200_R1.csv,FCR,7/18/2019,200,0.1,1,1,1.07647463,0.861723502,0.732013264,0.124248712
180,p_F22Jul19_0.1mR1_Dil.csv,FCR,7/22/2019,50,0.1,1,2,0.538679703,0.890171494,0.121307491,0.612373075
181,p_F22Jul19_5mR2.csv,FCR,7/22/2019,50,5,2,1,0.446652689,0.60975032,0.31618869,0.242348748
182,p_F22Jul19_9mR2_Dil.csv,FCR,7/22/2019,50,9,2,2,0.625541491,0.766331838,0.884805603,0.281508511
46,p_20200228_F22Jul19_INFR2_Dil.csv,FCR,7/22/2019,100,0.1,2,2,0.561121289,0.382754602,0.135256171,0.119241132
52,p_20200302_F22Jul19_WETR1_Dil.csv,FCR,7/22/2019,200,0.1,1,2,1.149658267,1.021873076,0.532681141,0.147682654
213,p_F29Jul19_SurfR2_Dil.csv,FCR,7/29/2019,50,0.1,2,2,0.571687373,0.597505184,0.371060973,0.486389962
211,p_F29Jul19_5mR1_ReDL.csv,FCR,7/29/2019,50,5,1,2,0.556701567,0.568229389,0.435217922,0.422779487
212,p_F29Jul19_Inf_R1.csv,FCR,7/29/2019,100,0.1,1,1,0.585154555,0.186380943,0.696586209,0.071775395
214,p_F29Jul19_Wet_R1.csv,FCR,7/29/2019,200,0.1,1,1,0.931761714,0.667926314,0.683628428,0.168242059
241,p_F5Aug19_SurfR1_Dil.csv,FCR,8/5/2019,50,0.1,1,2,0.590420244,0.676606394,0.212047141,0.475515277
239,p_F5Aug19_5R1.csv,FCR,8/5/2019,50,5,1,1,0.369777185,0.434961181,0.43087902,0.262983426
240,p_F5Aug19_Inf_R1.csv,FCR,8/5/2019,100,0.1,1,1,0.544928584,0.398823582,0.106722405,0.113840454
242,p_F5Aug19_Wet_R1.csv,FCR,8/5/2019,200,0.1,1,1,1.028884799,0.841019995,0.646446251,0.141671826
123,p_F12Aug19_Surf_R2.csv,FCR,8/12/2019,50,0.1,2,1,0.585168434,0.777602042,0.223947886,0.3844155
121,p_F12Aug19_5m_R1.csv,FCR,8/12/2019,50,5,1,1,0.370454015,0.504042739,0.285338343,0.154941626
122,p_F12Aug19_9m_R2.csv,FCR,8/12/2019,50,9,2,1,0.322448772,0.537300975,0.235827589,0.186027299
12,p_20190930_F14Aug19_0.1m_Dil.csv,FCR,8/14/2019,50,0.1,2,2,0.58320946,0.744734407,0.320908209,0.398907668
13,p_20190930_F14Aug19_5m_R1_Dil.csv,FCR,8/14/2019,50,5,1,2,0.435278903,0.654562807,0.433833584,0.302230405
14,p_20190930_F14Aug19_9m_R2_Dil.csv,FCR,8/14/2019,50,9,2,2,0.397856722,0.68085237,0.411627713,0.199236117
15,p_20190930_F14Aug19_9m_R2_DilFlt.csv,FCR,8/14/2019,50,9,2,2,0.382410839,0.626683821,0.294856903,0.245758471
138,p_F19Aug19Surf_R1.csv,FCR,8/19/2019,50,0.1,1,1,0.640895041,0.845816384,0.373561607,0.570872095
139,p_F19Aug19_5mR2.csv,FCR,8/19/2019,50,5,2,1,0.423975896,0.558790732,0.37909755,0.13757161
140,p_F19Aug19_9mR1.csv,FCR,8/19/2019,50,9,1,1,0.335159897,0.577349565,0.311964202,0.171614003
141,p_F19Aug19_Inf_R1.csv,FCR,8/19/2019,100,0.1,1,1,0.550700609,0.380602642,0.328910592,0.073451096
142,p_F19Aug19_Wet_R2.csv,FCR,8/19/2019,200,0.1,2,1,1.022989242,0.875564049,0.502997397,0.107603179
72,p_B22Aug19_01_R1.csv,BVR,8/22/2019,1,0.1,1,1,0.355889267,0.504658861,0.177816587,0.255368336
75,p_B22Aug19_20_R1.csv,BVR,8/22/2019,20,0.1,1,1,0.366418576,0.495740313,0.213918388,0.264126306
76,p_B22Aug19_30_R2.csv,BVR,8/22/2019,30,0.1,2,1,0.354610962,0.494772556,0.237517951,0.263742985
77,p_B22Aug19_45_R1.csv,BVR,8/22/2019,45,0.1,1,1,0.3553705,0.50170392,0.161658811,0.247964214
78,p_B22Aug19_50_R2.csv,BVR,8/22/2019,50,0.1,2,1,0.301927786,0.506515546,0.388868646,0.478039264
73,p_B22Aug19_100_R2.csv,BVR,8/22/2019,100,0.1,2,1,0.757491994,0.604840596,0.283828699,0.09159068
74,p_B22Aug19_200_R1.csv,BVR,8/22/2019,200,0.1,1,1,0.632709417,0.80587629,0.341719654,0.14690088
167,p_F22Aug19_01_R2.csv,FCR,8/22/2019,1,0.1,2,1,0.47920436,0.6079609,0.115293354,0.180842999
172,p_F22Aug19_20_R1.csv,FCR,8/22/2019,20,0.1,1,1,0.667891351,0.849261757,0.339584603,0.611117107
173,p_F22Aug19_30_R1.csv,FCR,8/22/2019,30,0.1,1,1,0.605415189,0.826866273,0.291456498,0.522984151
174,p_F22Aug19_45_R1.csv,FCR,8/22/2019,45,0.1,1,1,0.590142583,0.78439995,0.32994506,0.49603201
166,p_F22Aug19_0.1R1.csv,FCR,8/22/2019,50,0.1,1,2,0.588313581,0.808162634,0.164548447,0.52083234
