Sample Name,Reservoir,Date,Date analyzed,Station,Depth,Rep,Dilution,a254,a350,Sr,Max Fl Ex ,Max Fl Em ,Max Fl ,B,T,A,C,M,N,FI,BIX,HIX,T/B,T/M,T/N,T/C,A/T,A/C,A/M,M/C,C/N
20200131_F24Jun19_9R2_Dil.csv,FCR,6/24/2019,1/31/2020,50,9,2,2,,,,300,300,20.0812554,0.052372818,0.059013638,0.196719365,0.099637114,0.085559362,0.070849644,1.534609534,0.678692508,3.842473526,1.126798972,0.689739105,0.832941907,0.592285701,3.333456006,1.974358325,2.299214963,0.858709758,1.406317773
B27Jun19_01_R1.csv,BVR,6/27/2019,8/1/2020,1,0.1,1,1,,,,300,300,13.77004624,0.064064292,0.065050389,0.140857495,0.062815371,0.06225075,0.059789999,1.455755561,0.705069128,2.46919646,1.015392309,1.044973586,1.087981107,1.035580753,2.16535976,2.242404892,2.262743754,0.991011416,1.050599968
B27Jun19_20_R1.csv,BVR,6/27/2019,8/1/2020,20,0.1,1,1,,,,300,300,12.3318213,0.058694291,0.063173859,0.141958529,0.063395497,0.062697672,0.060345789,1.423456787,0.705974124,2.676547122,1.076320348,1.007594982,1.046864422,0.996503898,2.247108692,2.239252571,2.264175442,0.988992518,1.050537207
B27Jun19_30_R1.csv,BVR,6/27/2019,8/1/2020,30,0.1,1,1,,,,300,300,15.40578037,0.060432191,0.073897752,0.160818058,0.071835179,0.071078637,0.068844971,1.399609972,0.676263687,2.735654612,1.222821002,1.03966193,1.073393615,1.028712582,2.176223933,2.238708941,2.262537175,0.989468357,1.043433933
B27Jun19_45_R1.csv,BVR,6/27/2019,8/1/2020,45,0.1,1,1,,,,300,300,15.2892419,0.075658347,0.078057936,0.148758623,0.064180493,0.065827044,0.066027844,1.438044443,0.690554261,2.389813891,1.031716113,1.18580345,1.182197264,1.216225254,1.905746303,2.317816781,2.259840541,1.025655013,0.972021638
B27Jun19_50_R1.csv,BVR,6/27/2019,7/31/2020,50,0.1,1,1,,,,300,300,12.08545603,0.06034954,0.0642231,0.140448675,0.061812732,0.060818019,0.05844303,1.422583582,0.68157998,2.696941077,1.064185424,1.055988036,1.098900945,1.038994691,2.186887191,2.272164181,2.30932671,0.983907635,1.057657902
B27Jun19_100_R1.csv,BVR,6/27/2019,8/1/2020,100,0.1,1,1,,,,300,300,14.53618025,0.0311806,0.041037998,0.21127935,0.110353261,0.074925812,0.058747558,1.407336716,0.517801405,6.468760677,1.316138812,0.54771509,0.69854815,0.371878433,5.148383491,1.914572787,2.819847326,0.678963279,1.878431463
B27Jun19_200_R2.csv,BVR,6/27/2019,7/31/2020,200,0.1,2,1,,,,300,300,19.85167952,0.194148804,0.176511558,0.298261324,0.138353777,0.140530529,0.160673834,1.506016141,0.611282547,2.503688529,0.909156043,1.256037097,1.09857065,1.27579862,1.689755207,2.155787361,2.122395226,1.015733231,0.861084683
F27Jun19_01_R2.csv,FCR,6/27/2019,8/1/2020,1,0.1,2,1,,,,300,300,17.83599798,0.048007188,0.065285706,0.177547129,0.080643224,0.073132172,0.066560882,1.486927538,0.665754384,3.646276282,1.359915207,0.89270842,0.980841958,0.809562193,2.71954063,2.201637276,2.42775682,0.906860711,1.211570855
F27Jun19_20_R1.csv,FCR,6/27/2019,3/20/2020,20,0.1,1,1,,,,300,300,11.41713886,0.243794262,0.198363485,0.220566946,0.096466058,0.108282774,0.145358179,1.437868125,0.660776591,1.644347257,0.813651163,1.831902514,1.364653067,2.056303433,1.111933208,2.286472072,2.036953238,1.122496103,0.663643821
F27Jun19_30_R1.csv,FCR,6/27/2019,3/20/2020,30,0.1,1,1,,,,300,300,12.78145585,0.150441724,0.129088804,0.198454018,0.086951493,0.093037599,0.108661603,1.41463551,0.643348941,2.172286881,0.858065169,1.387490705,1.18798913,1.484607102,1.537344928,2.282353198,2.133051798,1.069994268,0.800204396
F27Jun19_45_R1.csv,FCR,6/27/2019,3/20/2020,45,0.1,1,1,,,,300,300,12.39181265,0.214804378,0.173761856,0.201967443,0.086177273,0.092081322,0.132502768,1.43423823,0.664486717,1.698133657,0.808930698,1.887047786,1.311382839,2.016330396,1.162323239,2.343627676,2.193359494,1.068510512,0.65038093
20200228_F27Jun19_SurfR2_Dil.csv,FCR,6/27/2019,2/28/2020,50,0.1,2,2,,,,300,300,12.19355111,0.098307881,0.100419151,0.199532797,0.090561676,0.084440285,0.084046415,1.431915035,0.650653233,3.203984842,1.021476095,1.189232738,1.194805879,1.108848192,1.986999442,2.203280738,2.363004787,0.932406379,1.077519797
