i,Sample_Label,Reservoir,Date,Station,Depth,Rep,Fmax1,Fmax1_perc,Fmax2,Fmax2_perc,Fmax3,Fmax3_perc,Fmax4,Fmax4_perc
50,'p_20200227_F8Jul19_INFR2_Dil.csv',FCR,7/8/2019,100,0.1,2,0.48,43.09,0.36,32.06,0.06,5.09,0.22,19.76
51,'p_20200227_F8Jul19_WETR1_Dil.csv',FCR,7/8/2019,200,0.1,1,0.88,47.00,0.72,38.50,0.14,7.66,0.13,6.84
6,'p_20190909_F15Jul19_0.1mR1_50Dil.csv',FCR,7/15/2019,50,0.1,1,0.50,31.62,0.67,42.04,0.11,7.00,0.31,19.34
12,'p_20190930_F13Jul19_5m_R1_Dil.csv',FCR,7/15/2019,50,5,1,0.43,25.28,0.61,35.79,0.34,19.86,0.32,19.07
7,'p_20190909_F15Jul19_5mR2_50Dil.csv',FCR,7/15/2019,50,5,2,0.54,35.10,0.66,43.16,0.12,7.83,0.21,13.90
8,'p_20190909_F15Jul19_9.0mR2.csv',FCR,7/15/2019,50,9,2,0.40,30.91,0.55,42.66,0.23,17.57,0.11,8.85
71,'p_B18Jul19_01_R1.csv',BVR,7/18/2019,1,0.1,1,0.35,27.82,0.44,35.32,0.19,15.60,0.26,21.26
74,'p_B18Jul19_20_R1.csv',BVR,7/18/2019,20,0.1,1,0.35,24.78,0.47,32.79,0.28,19.37,0.33,23.06
75,'p_B18Jul19_30_R2.csv',BVR,7/18/2019,30,0.1,2,0.36,22.83,0.43,27.53,0.49,31.39,0.29,18.25
76,'p_B18Jul19_45_R1.csv',BVR,7/18/2019,45,0.1,1,0.30,18.62,0.49,30.72,0.59,37.02,0.22,13.64
77,'p_B18Jul19_Surf_R1.csv',BVR,7/18/2019,50,0.1,1,0.34,26.60,0.45,35.32,0.20,16.06,0.28,22.01
72,'p_B18Jul19_100_R2.csv',BVR,7/18/2019,100,0.1,2,0.66,31.49,0.54,25.42,0.76,35.99,0.15,7.11
73,'p_B18Jul19_200_R2.csv',BVR,7/18/2019,200,0.1,2,0.63,25.05,0.71,28.13,0.86,34.10,0.32,12.72
