"time","depth","temp","DO","chla"
2019-02-08,7.994,4.2038,10.435,4.1433
2019-02-08,8.012,4.2029,10.4362,4.1547
2019-02-08,8.036,4.2024,10.4343,4.1776
2019-02-08,8.068,4.2019,10.4326,4.1738
2019-02-08,8.094,4.2001,10.4237,4.4141
2019-02-08,8.115,4.1972,10.4217,4.395
2019-02-08,8.136,4.1948,10.413,4.4179
2019-02-08,8.159,4.1926,10.4112,4.4103
2019-02-08,8.18,4.1908,10.4119,4.395
2019-02-08,8.201,4.19,10.4098,4.4675
2019-02-08,8.222,4.1894,10.4116,4.4675
2019-02-08,8.247,4.1891,10.4127,4.4484
2019-02-08,8.271,4.1891,10.4152,4.4484
2019-02-08,8.298,4.1886,10.4158,4.4561
2019-02-08,8.325,4.1884,10.4214,4.4828
2019-02-08,8.353,4.1885,10.4152,4.4675
2019-02-08,8.382,4.1886,10.4192,4.4828
2019-02-08,8.412,4.1877,10.4224,4.5133
2019-02-08,8.44,4.1862,10.4187,4.5324
2019-02-08,8.466,4.1847,10.4219,4.5324
2019-02-08,8.49,4.184,10.4142,4.5324
2019-02-08,8.514,4.1842,10.4162,4.3989
2019-02-08,8.536,4.1846,10.4068,4.3798
2019-02-08,8.557,4.1843,10.4023,4.3912
2019-02-08,8.581,4.1832,10.3959,4.4103
2019-02-08,8.601,4.1818,10.3873,4.6239
2019-02-08,8.623,4.1801,10.3831,4.6468
2019-02-08,8.646,4.1784,10.3751,4.6392
2019-02-08,8.666,4.1772,10.3791,4.6354
2019-02-08,8.686,4.1762,10.3698,4.6316
2019-02-08,8.711,4.1755,10.3656,4.2768
2019-02-08,8.74,4.1752,10.3615,4.2997
2019-02-08,8.768,4.175,10.3641,4.2882
2019-02-08,8.791,4.1751,10.3618,4.2615
2019-02-08,8.813,4.1758,10.3621,4.3836
2019-02-08,8.833,4.1766,10.3571,4.4103
2019-02-08,8.861,4.1778,10.3443,4.4179
2019-02-08,8.892,4.1787,10.3485,4.4179
2019-02-08,8.919,4.179,10.3466,4.2882
2019-02-08,8.94,4.1793,10.3388,4.2844
2019-02-08,8.963,4.1805,10.3321,4.273
